  PID TTY           TIME CMD
 7088 ??         0:00.76 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_download_service
 7089 ??         0:00.95 /System/Library/PrivateFrameworks/AssetCacheServices.framework/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
 7090 ??         0:00.02 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
 7094 ??         0:02.38 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 7286 ??         0:00.33 /System/Library/Frameworks/GSS.framework/Helpers/com.apple.GSSCred
 7383 ??         0:00.04 /usr/sbin/aslmanager -s /var/log/eventmonitor
 8162 ??         0:00.26 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
15701 ??         0:00.02 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
15846 ??         0:07.88 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
15847 ??         3:37.09 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
15850 ??         0:03.88 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
15882 ??         0:00.02 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
16024 ??         0:01.09 /usr/libexec/UserEventAgent (Aqua)
16027 ??         0:00.27 /usr/libexec/lsd
16028 ??         0:01.11 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
16032 ??         0:06.14 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
16033 ??         0:03.56 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
16034 ??         0:08.10 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
16036 ??         0:00.01 /usr/sbin/pboard
16039 ??         0:01.48 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
16040 ??         0:02.95 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
16042 ??         0:00.71 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
16043 ??         0:00.27 /System/Library/CoreServices/sharedfilelistd
16044 ??         0:00.40 /usr/libexec/sharingd
16046 ??         0:01.31 /usr/sbin/usernoted
16047 ??         0:05.50 /System/Library/PrivateFrameworks/ParsecUI.framework/Versions/A/Support/SpotlightNetHelper.app/Contents/MacOS/SpotlightNetHelper
16048 ??         0:04.71 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
16049 ??         0:00.16 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
16050 ??         0:02.06 /usr/libexec/nsurlstoraged
16051 ??         0:01.00 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
16052 ??         0:00.09 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
16053 ??         0:00.10 /System/Library/CoreServices/FolderActionsDispatcher.app/Contents/MacOS/FolderActionsDispatcher
16054 ??         0:00.01 /usr/libexec/spindump_agent
16056 ??         0:00.06 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
